,Obs_formatted date,Obs_value,Obs_inflazione,% positivi,% negativi
0,2022-03,14988823,115.49,11.0,89.0
1,2022-02,14851050,113.65,12.0,88.0
2,2022-01,14764887,112.67,12.0,88.0
3,2021-12,14696493,112.06,12.0,88.0
4,2021-11,14586453,111.54,12.0,88.0
5,2021-10,14538956,111.0,12.0,88.0
6,2021-09,14458903,110.03,,
7,2021-08,14356486,109.5,,
8,2021-07,14277819,109.14,,
9,2021-06,14196063,109.1,,
10,2021-05,14112352,108.83,,
11,2021-04,14042103,108.53,,
12,2021-03,13998861,107.91,,
13,2021-02,13906098,107.0,,
14,2021-01,13819660,106.72,,
15,2020-12,13731946,106.41,,
16,2020-11,13617227,106.07,,
17,2020-10,13528270,106.37,,
18,2020-09,13445472,106.17,,
19,2020-08,13321073,106.13,,
20,2020-07,13270587,106.51,,
21,2020-06,13200690,106.76,,
22,2020-05,13121352,106.38,,
23,2020-04,12958458,106.37,,
24,2020-03,12782327,106.14,,
25,2020-02,12491358,105.66,,
26,2020-01,12406985,105.44,,
27,2019-12,12378157,106.14,,
28,2019-11,12372563,105.85,,
29,2019-10,12325077,106.03,,
30,2019-09,12262013,105.9,,
31,2019-08,12226915,105.73,,
32,2019-07,12121510,105.59,,
33,2019-06,12060683,105.9,,
34,2019-05,12012893,105.79,,
35,2019-04,11950936,105.58,,
36,2019-03,11889650,104.85,,
37,2019-02,11805423,104.02,,
38,2019-01,11735480,103.64,,
39,2018-12,11703399,104.5,,
40,2018-11,11662784,104.51,,
41,2018-10,11614260,104.91,,
42,2018-09,11558909,104.66,,
43,2018-08,11505686,104.32,,
44,2018-07,11484101,104.12,,
45,2018-06,11480012,104.28,,
46,2018-05,11402526,104.16,,
47,2018-04,11324884,103.6,,
48,2018-03,11287224,103.17,,
49,2018-02,11278796,102.35,,
50,2018-01,11259122,102.12,,
51,2017-12,11206541,102.82,,
52,2017-11,11173489,102.5,,
53,2017-10,11137876,102.55,,
54,2017-09,11094314,102.44,,
55,2017-08,11065617,102.08,,
56,2017-07,11004776,101.83,,
57,2017-06,10978408,102.15,,
58,2017-05,10926746,102.09,,
59,2017-04,10913059,102.1,,
60,2017-03,10882390,101.58,,
61,2017-02,10815885,100.93,,
62,2017-01,10759156,100.49,,
63,2016-12,10710430,101.16,,
64,2016-11,10663649,100.65,,
65,2016-10,10594387,100.87,,
66,2016-09,10567335,100.64,,
67,2016-08,10532354,100.34,,
68,2016-07,10503250,100.28,,
69,2016-06,10446187,100.65,,
70,2016-05,10422017,100.48,,
71,2016-04,10382262,100.13,,
72,2016-03,10343374,99.93,,
73,2016-02,10322041,98.98,,
74,2016-01,10272086,98.83,,
75,2015-12,10217485,100.02,,
76,2015-11,10183447,100.01,,
77,2015-10,10124631,100.34,,
78,2015-09,10060947,100.23,,
79,2015-08,10032695,100.11,,
80,2015-07,10009683,100.12,,
81,2015-06,9943297,100.59,,
82,2015-05,9912017,100.62,,
83,2015-04,9864974,100.36,,
84,2015-03,9815909,99.97,,
85,2015-02,9761903,99.07,,
86,2015-01,9745696,98.57,,
87,2014-12,9677342,99.84,,
88,2014-11,9561493,99.93,,
89,2014-10,9499417,100.14,,
90,2014-09,9482530,100.15,,
91,2014-08,9434464,99.84,,
92,2014-07,9389736,99.74,,
93,2014-06,9360544,100.26,,
