Obs_formatted date,Obs_value
2022-03,14988823
2022-02,14851050
2022-01,14764887
2021-12,14696493
2021-11,14586453
2021-10,14538956
2021-09,14458903
2021-08,14356486
2021-07,14277819
2021-06,14196063
2021-05,14112352
2021-04,14042103
2021-03,13998861
2021-02,13906098
2021-01,13819660
2020-12,13731946
2020-11,13617227
2020-10,13528270
2020-09,13445472
2020-08,13321073
2020-07,13270587
2020-06,13200690
2020-05,13121352
2020-04,12958458
2020-03,12782327
2020-02,12491358
2020-01,12406985
2019-12,12378157
2019-11,12372563
2019-10,12325077
2019-09,12262013
2019-08,12226915
2019-07,12121510
2019-06,12060683
2019-05,12012893
2019-04,11950936
2019-03,11889650
2019-02,11805423
2019-01,11735480
2018-12,11703399
2018-11,11662784
2018-10,11614260
2018-09,11558909
2018-08,11505686
2018-07,11484101
2018-06,11480012
2018-05,11402526
2018-04,11324884
2018-03,11287224
2018-02,11278796
2018-01,11259122
2017-12,11206541
2017-11,11173489
2017-10,11137876
2017-09,11094314
2017-08,11065617
2017-07,11004776
2017-06,10978408
2017-05,10926746
2017-04,10913059
2017-03,10882390
2017-02,10815885
2017-01,10759156
2016-12,10710430
2016-11,10663649
2016-10,10594387
2016-09,10567335
2016-08,10532354
2016-07,10503250
2016-06,10446187
2016-05,10422017
2016-04,10382262
2016-03,10343374
2016-02,10322041
2016-01,10272086
2015-12,10217485
2015-11,10183447
2015-10,10124631
2015-09,10060947
2015-08,10032695
2015-07,10009683
2015-06,9943297
2015-05,9912017
2015-04,9864974
2015-03,9815909
2015-02,9761903
2015-01,9745696
2014-12,9677342
2014-11,9561493
2014-10,9499417
2014-09,9482530
2014-08,9434464
2014-07,9389736
2014-06,9360544
2014-05,9337693
2014-04,9289042
2014-03,9285413
2014-02,9266982
2014-01,9238691
2013-12,9211812
2013-11,9234239
2013-10,9219257
2013-09,9199381
2013-08,9181318
2013-07,9148766
2013-06,9126463
2013-05,9129563
2013-04,9108538
2013-03,9081484
2013-02,9048893
2013-01,9014098
2012-12,8999084
2012-11,8973995
2012-10,8948954
2012-09,8877647
2012-08,8843703
2012-07,8829723
2012-06,8776882
2012-05,8747537
2012-04,8705320
2012-03,8721758
2012-02,8680705
2012-01,8644055
2011-12,8606736
2011-11,8588724
2011-10,8572629
2011-09,8593136
2011-08,8557228
2011-07,8512019
2011-06,8494238
2011-05,8481424
2011-04,8455954
2011-03,8456279
2011-02,8445245
2011-01,8436534
2010-12,8422295
2010-11,8404563
2010-10,8387804
2010-09,8370400
2010-08,8367453
2010-07,8330280
2010-06,8313912
2010-05,8283888
2010-04,8264390
2010-03,8229334
2010-02,8229508
2010-01,8220902
2009-12,8208824
2009-11,8180536
2009-10,8194335
2009-09,8191842
2009-08,8176189
2009-07,8183671
2009-06,8154846
2009-05,8141660
2009-04,8147707
2009-03,8092438
2009-02,8111405
2009-01,8087788
2008-12,8041612
2008-11,8034546
2008-10,8009582
2008-09,7868303
2008-08,7788292
2008-07,7752265
2008-06,7699706
2008-05,7673652
2008-04,7616828
2008-03,7534905
2008-02,7504996
2008-01,7441585
2007-12,7355469
2007-11,7320804
2007-10,7267696
2007-09,7164861
2007-08,7099255
2007-07,7058142
2007-06,6986125
2007-05,6919040
2007-04,6850594
2007-03,6823742
2007-02,6739945
2007-01,6705372
2006-12,6663767
2006-11,6555412
2006-10,6500292
2006-09,6487421
2006-08,6407759
2006-07,6369053
2006-06,6362950
2006-05,6317767
2006-04,6295792
2006-03,6221116
2006-02,6176132
2006-01,6124769
2005-12,6093186
2005-11,6027064
2005-10,6001860
2005-09,5980748
2005-08,5914509
2005-07,5885266
2005-06,5824959
2005-05,5762299
2005-04,5721454
2005-03,5679341
2005-02,5653315
2005-01,5623288
2004-12,5573540
2004-11,5542737
2004-10,5518152
2004-09,5484081
2004-08,5438154
2004-07,5421035
2004-06,5385279
2004-05,5355734
2004-04,5341144
2004-03,5316424
2004-02,5281581
2004-01,5259980
2003-12,5238327
2003-11,5217471
2003-10,5200531
2003-09,5167505
2003-08,5160933
2003-07,5123636
2003-06,5096544
2003-05,5088934
2003-04,5048210
2003-03,5000011
2003-02,4968610
2003-01,4922129
2002-12,4915147
2002-11,4890882
2002-10,4847022
2002-09,4821013
2002-08,4785365
2002-07,4761547
2002-06,4735880
2002-05,4719009
2002-04,4697507
2002-03,4662027
2002-02,4650397
2002-01,4645232
2001-12,4615510
2001-11,4588671
2001-10,4553696
2001-09,4533918
2001-08,4501923
2001-07,4481145
2001-06,4467986
2001-05,4429759
2001-04,4412550
2001-03,4382791
2001-02,4363192
2001-01,4340387
2000-12,4226952
2000-11,4226830
2000-10,4225858
2000-09,4212330
2000-08,4209465
2000-07,4183450
2000-06,4171277
2000-05,4168507
2000-04,4174322
2000-03,4149339
2000-02,4136412
2000-01,4121606
