DATAFLOW,LAST UPDATE,freq,unit,coicop,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-01,73.75,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-02,73.98,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-03,74.24,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-04,74.34,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-05,74.46,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-06,74.68,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-07,74.66,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-08,74.71,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-09,75.09,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-10,75.12,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-11,75.28,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2000-12,75.50,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-01,75.12,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-02,75.34,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-03,75.72,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-04,76.18,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-05,76.58,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-06,76.69,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-07,76.44,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-08,76.44,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-09,76.67,
ESTAT:PRC_HICP_MIDX(1.0),01/04/22 11:00:00,M,I15,CP00,EU,2001-10,76.69,
